STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/15,4.92,,0,0,0,,31,14,,220,240,17,23.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/16,5.59,,0,0,0,,44,30,,220,220,15,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/17,5.14,,0,0,0,,51,38,,50,50,17,27.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/18,6.26,,0,0,0,,47,38,,80,100,15,21,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/19,7.38,,0,0,0,,48,32,,300,310,17,27.1,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/20,5.82,,0,0,0,,35,26,,260,340,15,21.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/21,5.37,,0,0,0,,35,20,,350,330,15,21,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/22,6.26,,0,0,0,,50,30,,240,220,14.1,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/23,4.47,,0,0,0,,56,39,,230,230,13,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/24,2.91,,0,0,0,,62,41,,140,140,12.1,15,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/25,3.8,,0.14,0,0,,53,46,,60,220,12.1,17,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/26,7.16,,0,0,0,,48,43,,100,120,14.1,23,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/27,12.75,,0.4,0,0,,43,31,,280,290,28,44.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/28,9.84,,0,0,0,,42,29,,270,230,21,34,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/2/29,8.72,,0,0,0,,35,25,,300,330,18.1,30,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/1,6.04,,0,0,0,,44,25,,280,270,15,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/2,6.49,,0,0,0,,58,40,,220,220,15,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/3,6.04,,0.26,0,0,,59,49,,260,280,19.9,32,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/4,10.29,,0,0,0,,56,45,,280,280,21.9,35.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/5,5.37,,0,0,0,,51,39,,300,310,15,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/6,7.61,,0.37,0,0,,45,37,,30,30,17,29.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/7,7.61,,0,0,0,,48,36,,20,10,17,28,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/8,6.71,,0,0,0,,59,35,,240,240,15,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/9,7.38,,0,0,0,,72,47,,240,230,15,28,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/10,7.61,,0,0,0,,65,54,,240,240,17,27.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/11,4.7,,0,0,0,,57,43,,310,310,17,25.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/12,5.14,,0.03,0,0,,50,43,,60,50,12.1,16.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/13,8.72,,0.26,0,0,,70,45,,250,260,21,33.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/14,7.38,,0,0,0,,57,43,,300,310,18.1,30,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/15,6.26,,0,0,0,,54,40,,30,20,15,21.9,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/16,8.95,,0,0,0,,45,33,,40,40,16.1,25.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/17,4.25,,0.16,0,0,,54,41,,260,250,14.1,21,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/18,4.47,,0,0,0,,54,41,,140,150,13,19,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/19,4.7,,0.93,0,0,,52,41,,70,60,16.1,21,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/20,5.82,,0,0,0,,77,47,,280,250,18.1,34,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/21,7.83,,0,0,0,,65,40,,40,50,16.1,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/22,10.07,,0,0,0,,45,33,,50,20,17,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/23,9.17,,1.16,0,0,,41,36,,40,30,19.9,31.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/24,6.71,,0,0,0,,55,36,,40,300,15,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/25,9.84,,0.01,0,0,,45,40,,50,60,21.9,33.1,,,,,,,
